Order ID,First_name,Last_name,Email,Gender,Product,Product Category,Amount in dollars,Gender Category,Reclassified Category
1.0,Morganne,Gerler,mgerler0@wufoo.com,Female,Nike Air Max,Mobiles,1414.86,Female,Fashion
2.0,Amandie,Handrek,ahandrek1@economist.com,Unknown,Amazon Echo,Fashion,232.36,Others,Smart Devices
3.0,Nollie,Jakab,njakab2@diigo.com,Male,Nike Air Max,Laptop,277.91,Male,Fashion
4.0,Austin,Relph,arelph3@etsy.com,Female,Amazon Echo,mobile accesories,1155.54,Female,Smart Devices
5.0,Kessia,Carrett,kcarrett4@uol.com.br,Female,Nike Air Max,mobile accesories,32.36,Female,Fashion
6.0,Brod,Fallen,bfallen5@yahoo.co.jp,Male,Sony PlayStation,Fashion,888.05,Male,Gaming
8.0,Louisette,Beche,lbeche7@devhub.com,Female,MacBook Pro,Laptop,359.21,Female,Laptop
9.0,Hiram,Fridd,hfridd8@arstechnica.com,Male,Fitbit Charge,Fashion,1461.5,Male,Smart Devices
10.0,Slade,Kealey,skealey9@flavors.me,Male,MacBook Pro,Fashion,1361.21,Male,Laptop
11.0,Hilarius,Deeprose,hdeeprosea@furl.net,Male,Nike Air Max,Gaming,997.24,Male,Fashion
12.0,Gilbertine,Spyvye,gspyvyeb@list-manage.com,Female,iPhone,Laptop,772.93,Female,Smart Devices
13.0,Analiese,Camoys,acamoysc@tripadvisor.com,Female,Nike Air Max,Health,689.87,Female,Fashion
14.0,Cecelia,Fellenor,cfellenord@cbsnews.com,Genderqueer,Canon EOS,Mobiles,1480.74,Others,Camera
15.0,Slade,Tatershall,statershalle@wufoo.com,Male,MacBook Pro,Gaming,337.74,Male,Laptop
16.0,Angie,Petrillo,apetrillof@weebly.com,Male,iPhone,Mobiles,429.29,Male,Smart Devices
17.0,Stavro,La Vigne,slavigneg@youku.com,Male,Sony PlayStation,Gaming,478.92,Male,Gaming
18.0,Antoine,Crosdill,acrosdillh@mlb.com,Male,Sony PlayStation,Laptop,363.68,Male,Gaming
19.0,Isis,Jenkins,ijenkinsi@cnbc.com,Female,Fitbit Charge,Health,670.87,Female,Smart Devices
20.0,Ruggiero,Cavan,rcavanj@omniture.com,Male,Samsung Galaxy,Gaming,350.09,Male,Smart Devices
21.0,Edsel,Crichton,ecrichtonk@ucoz.ru,Bigender,Fitbit Charge,Fashion,238.62,Others,Smart Devices
22.0,Lynette,Wilcox,lwilcoxl@china.com.cn,Female,MacBook Pro,Mobiles,546.21,Female,Laptop
24.0,Desiri,Marcome,dmarcomen@etsy.com,Female,Amazon Echo,mobile accesories,990.86,Female,Smart Devices
25.0,Arty,Bartleman,abartlemano@bravesites.com,Male,Sony PlayStation,mobile accesories,81.66,Male,Gaming
26.0,Norby,Hazleton,nhazletonp@intel.com,Male,MacBook Pro,Health,1390.09,Male,Laptop
27.0,Agosto,Boribal,aboribalq@sphinn.com,Male,MacBook Pro,Health,908.34,Male,Laptop
28.0,Graham,Weedall,gweedallr@mashable.com,Male,MacBook Pro,Fashion,525.08,Male,Laptop
29.0,Nan,Cattemull,ncattemulls@angelfire.com,Female,Nike Air Max,Health,252.84,Female,Fashion
30.0,Kimberlyn,Semour,ksemourt@blog.com,Polygender,Amazon Echo,Health,1075.52,Others,Smart Devices
32.0,Leda,Kelshaw,lkelshawv@list-manage.com,Non-binary,Nike Air Max,Health,311.22,Others,Fashion
33.0,Marcelia,Lickorish,mlickorishw@timesonline.co.uk,Female,MacBook Pro,Health,1426.61,Female,Laptop
34.0,Miguel,Readshall,mreadshallx@goo.ne.jp,Genderqueer,Fitbit Charge,Fashion,919.72,Others,Smart Devices
35.0,Adele,MacNamara,amacnamaray@xing.com,Female,Nintendo Switch,mobile accesories,995.97,Female,Gaming
36.0,Shaine,Ayto,saytoz@businessweek.com,Male,Amazon Echo,Health,223.65,Male,Smart Devices
37.0,Vanda,Nannoni,vnannoni10@vistaprint.com,Female,Amazon Echo,Mobiles,823.32,Female,Smart Devices
38.0,Rolfe,Gobbet,rgobbet11@google.cn,Male,iPhone,Mobiles,51.38,Male,Smart Devices
39.0,Gilles,Conniam,gconniam12@mit.edu,Male,Amazon Echo,Health,939.7,Male,Smart Devices
40.0,Filmore,Freshwater,ffreshwater13@bizjournals.com,Male,Fitbit Charge,mobile accesories,547.27,Male,Smart Devices
41.0,Raquela,Shevill,rshevill14@naver.com,Female,iPhone,Laptop,1397.88,Female,Smart Devices
42.0,Karalee,Pennacci,kpennacci15@comsenz.com,Female,Nike Air Max,Fashion,1480.33,Female,Fashion
43.0,Sharron,Orth,sorth16@purevolume.com,Female,Fitbit Charge,mobile accesories,304.07,Female,Smart Devices
44.0,Burke,St. Quentin,bstquentin17@over-blog.com,Male,Nike Air Max,Laptop,655.92,Male,Fashion
45.0,Kelvin,Haddick,khaddick18@sciencedaily.com,Male,Sony PlayStation,Laptop,538.26,Male,Gaming
46.0,Darren,Farries,dfarries19@wufoo.com,Male,Nintendo Switch,Fashion,458.75,Male,Gaming
47.0,Paulita,Delafoy,pdelafoy1a@weather.com,Female,Samsung Galaxy,Health,1034.88,Female,Smart Devices
48.0,Trudy,Luckey,tluckey1b@xinhuanet.com,Female,Fitbit Charge,Laptop,621.93,Female,Smart Devices
49.0,b,Ganny,bganny1c@weibo.com,Male,Sony PlayStation,Gaming,1042.19,Male,Gaming
50.0,Gardie,Maydway,gmaydway1d@webeden.co.uk,Unknown,Sony PlayStation,Mobiles,787.63,Others,Gaming
51.0,Nicholle,Jacklings,njacklings1e@icq.com,Female,Nike Air Max,Fashion,998.79,Female,Fashion
Missing_52,Garrick,Roy,groy1g@delicious.com,Male,Nike Air Max,Health,819.7,Male,Fashion
54.0,Lorianna,Yielding,lyielding1h@google.co.jp,Female,Nike Air Max,Fashion,692.59,Female,Fashion
55.0,Nisse,Loughead,nloughead1i@imdb.com,Female,Fitbit Charge,mobile accesories,829.73,Female,Smart Devices
56.0,Lyndel,Silver,lsilver1j@netvibes.com,Female,Fitbit Charge,Mobiles,1192.54,Female,Smart Devices
57.0,Falito,Varley,fvarley1k@instagram.com,Male,Fitbit Charge,Laptop,640.93,Male,Smart Devices
59.0,Maurine,Cristoforo,mcristoforo1m@pcworld.com,Female,MacBook Pro,Gaming,1074.16,Female,Laptop
60.0,Dulciana,Fullbrook,dfullbrook1n@wiley.com,Female,GoPro Hero,Health,601.6,Female,Camera
Missing_60,Ferne,Rosenqvist,frosenqvist1o@miibeian.gov.cn,Unknown,Nike Air Max,mobile accesories,1381.47,Others,Fashion
62.0,Bondy,Castanone,bcastanone1p@infoseek.co.jp,Male,Nike Air Max,Gaming,569.69,Male,Fashion
Missing_62,Maribel,Denning,mdenning1q@hp.com,Female,Nintendo Switch,mobile accesories,788.63,Female,Gaming
Missing_63,Doll,Ciementini,dciementini1r@walmart.com,Female,Samsung Galaxy,Mobiles,803.16,Female,Smart Devices
65.0,Burr,Lindblad,blindblad1s@amazonaws.com,Male,Amazon Echo,Health,202.05,Male,Smart Devices
66.0,Raimundo,Budget,rbudget1t@ibm.com,Male,Nike Air Max,Gaming,494.66,Male,Fashion
67.0,Rowe,Yarr,ryarr1u@earthlink.net,Female,Sony PlayStation,Gaming,1163.54,Female,Gaming
69.0,Ryann,Goldsmith,rgoldsmith1w@bandcamp.com,Female,Nike Air Max,Health,1469.71,Female,Fashion
70.0,Menard,Preshaw,mpreshaw1x@drupal.org,Bigender,Fitbit Charge,mobile accesories,1406.84,Others,Smart Devices
